lat_departure,lon_departure,lat_arrival,lon_arrival
45.5003,4.2406,45.4742,4.3781,
45.1003,3.4942,45.1003,3.4942,
44.96,3.5475,45.1003,3.4942,
45.2647,3.4047,45.1003,3.4942,
46.1958,6.2364,46.1283,6.3406,
46.0603,6.5786,46.1283,6.3406,
46.1442,6.0842,46.1283,6.3406,
46.0789,6.4008,46.1283,6.3406,
46.0669,6.3119,46.1283,6.3406,
46.185,6.2075,46.1283,6.3406,
46.1742,6.255,46.1283,6.3406,
46.2022,6.2469,46.1283,6.3406,
46.0572,6.55,46.1283,6.3406,
46.1344,6.2683,46.1283,6.3406,
46.1867,6.2914,46.1283,6.3406,
46.0597,6.3725,46.1283,6.3406,
46.0903,6.4997,46.1283,6.3406,
46.0836,6.5411,46.1283,6.3406,
46.195,6.2242,46.1283,6.3406,
46.0592,6.5258,46.1283,6.3406,
46.1475,6.4103,46.1283,6.3406,
46.1411,6.145,46.1283,6.3406,
46.0183,6.1714,46.1283,6.3406,
46.1583,6.3419,46.1283,6.3406,
46.1075,6.5914,46.1283,6.3406,
46.1383,6.4594,46.1283,6.3406,
45.9969,6.2469,46.1283,6.3406,
46.1683,6.3206,46.1283,6.3406,
46.1072,6.2672,46.1283,6.3406,
46.0742,6.3292,46.1283,6.3406,
46.1356,6.1325,46.1283,6.3406,
46.1775,6.2258,46.1283,6.3406,
46.1342,6.5228,46.1283,6.3406,
46.1617,6.2311,46.1283,6.3406,
46.0825,6.4369,46.1283,6.3406,
46.1283,6.3406,46.1283,6.3406,
46.1214,6.1044,46.1283,6.3406,
46.0656,6.2939,46.1283,6.3406,
46.1058,6.3328,46.1283,6.3406,
46.1128,6.0806,46.1283,6.3406,
46.0544,6.4844,46.1283,6.3406,
46.1908,6.3186,46.1283,6.3406,
46.1589,6.2669,46.1283,6.3406,
46.2917,6.3103,46.1283,6.3406,
46.0667,6.4925,46.1283,6.3406,
46.1542,6.3064,46.1283,6.3406,
46.0375,6.2242,46.1283,6.3406,
46.1314,6.3761,46.1283,6.3406,
46.0928,6.2997,46.1283,6.3406,
46.1714,6.4789,46.1283,6.3406,
46.1328,6.4306,46.1283,6.3406,
46.0872,6.5825,46.1283,6.3406,
46.1189,6.3156,46.1283,6.3406,
46.0917,6.2183,46.1283,6.3406,
46.0006,6.3967,46.1283,6.3406,
46.2517,6.3314,46.1283,6.3406,
46.0528,6.1733,46.1283,6.3406,
46.1233,6.2056,46.1283,6.3406,
46.1444,6.3544,46.1283,6.3406,
46.2336,6.4525,46.1283,6.3406,
46.1517,6.1592,46.1283,6.3406,
46.0528,6.3294,46.1283,6.3406,
46.1117,6.3978,46.1283,6.3406,
46.2433,6.0214,46.2808,6.0369,
46.3333,6.0578,46.2808,6.0369,
46.2558,6.1081,46.2808,6.0369,
46.3567,6.1428,46.2808,6.0369,
46.1175,6.0375,46.2808,6.0369,
46.1081,5.9681,46.2808,6.0369,
46.3192,6.07,46.2808,6.0369,
46.2761,6.0933,46.2808,6.0369,
46.19,5.9264,46.2808,6.0369,
46.3022,6.0972,46.2808,6.0369,
46.2806,6.0125,46.2808,6.0369,
46.2531,6,46.2808,6.0369,
46.3089,6.0361,46.2808,6.0369,
46.2969,6.0733,46.2808,6.0369,
46.2808,6.0369,46.2808,6.0369,
46.2128,5.9519,46.2808,6.0369,
46.1814,5.9758,46.2808,6.0369,
45.0336,3.0928,45.11,2.8686,
45.11,2.8686,45.11,2.8686,
44.9333,4.8917,44.8533,4.9333,
44.9475,4.8953,44.8533,4.9333,
44.9344,4.8747,44.8533,4.9333,
44.8733,4.8764,44.8533,4.9333,
44.7283,5.0222,44.8533,4.9333,
44.9486,4.845,44.8533,4.9333,
44.8997,5.02,44.8533,4.9333,
44.9708,4.9567,44.8533,4.9333,
44.8369,4.8939,44.8533,4.9333,
44.9375,5.0311,44.8533,4.9333,
44.8619,4.9428,44.8533,4.9333,
45.0047,4.8667,44.8533,4.9333,
45.0119,4.8475,44.8533,4.9333,
44.9014,4.9567,44.8533,4.9333,
44.8636,4.8353,44.8533,4.9333,
44.8331,4.975,44.8533,4.9333,
44.7158,5.0569,44.8533,4.9333,
44.7639,4.9167,44.8533,4.9333,
44.975,5.0275,44.8533,4.9333,
44.8611,4.8092,44.8533,4.9333,
44.8892,4.8503,44.8533,4.9333,
44.7311,4.9217,44.8533,4.9333,
44.7978,4.9403,44.8533,4.9333,
44.8258,4.8031,44.8533,4.9333,
44.8533,4.9333,44.8533,4.9333,
44.8978,4.8164,44.8533,4.9333,
44.8572,4.9067,44.8533,4.9333,
44.8233,4.7667,44.8533,4.9333,
44.8047,4.9786,44.8533,4.9333,
44.7594,4.9886,44.8533,4.9333,
45.02,4.9206,44.8533,4.9333,
44.965,5.0792,44.8533,4.9333,
44.8717,5.0225,44.8533,4.9333,
44.7614,4.7233,44.8533,4.9333,
44.9564,5.1408,44.8533,4.9333,
45.6167,6.7686,45.5536,6.6719,
45.5556,6.6486,45.5536,6.6719,
45.485,6.5339,45.5536,6.6719,
45.5008,6.5097,45.5536,6.6719,
45.4347,6.6378,45.5536,6.6719,
45.6228,6.8008,45.5536,6.6719,
45.6269,6.4494,45.5536,6.6719,
