lat_departure,lon_departure,lat_arrival,lon_arrival
-14.4921,-42.686,-14.4097,-42.8667
-15.4993,-41.2414,-15.4993,-41.2414
-10.6647,-39.4944,-10.6647,-39.4944
-9.90014,-39.1471,-9.90014,-39.1471
-14.7177,-41.2603,-14.7177,-41.2603
-17.7268,-39.2597,-17.7268,-39.2597
-11.9472,-37.9469,-11.9472,-37.9469
-11.9392,-38.0871,-11.9472,-37.9469
-9.16408,-40.974,-9.16408,-40.974
-12.31,-44.8648,-12.31,-44.8648
-11.1376,-42.1116,-11.1376,-42.1116
-8.9695,-39.0979,-8.9695,-39.0979
-11.1032,-38.5179,-11.1032,-38.5179
-11.2329,-38.4871,-11.1032,-38.5179
-11.0421,-38.4242,-11.1032,-38.5179
-10.8373,-38.5382,-11.1032,-38.5179
-14.1814,-44.5352,-14.1814,-44.5352
-11.8179,-37.6131,-11.8179,-37.6131
-13.7537,-41.048,-13.7537,-41.048
-14.9022,-41.9718,-15.0356,-41.9308
-15.0356,-41.9308,-15.0356,-41.9308
-10.2847,-37.9198,-10.2847,-37.9198
-13.3477,-44.6333,-13.3477,-44.6333
-12.0228,-44.2566,-12.0228,-44.2566
-13.3531,-39.8031,-13.3531,-39.8031
-13.2793,-39.814,-13.3531,-39.8031
-12.2249,-44.4214,-12.2249,-44.4214
-8.98458,-39.8997,-8.98458,-39.8997
-14.4229,-39.9031,-14.4229,-39.9031
-14.2782,-39.8449,-14.4229,-39.9031
-13.7565,-41.7677,-13.7565,-41.7677
-12.9016,-39.1923,-12.9016,-39.1923
-12.9614,-39.2584,-12.9016,-39.1923
-13.0215,-39.602,-12.9417,-39.5191
-12.9417,-39.5191,-12.9417,-39.5191
-13.0434,-39.4578,-12.9417,-39.5191
-12.9672,-39.3919,-12.9417,-39.5191
-15.5302,-40.9124,-15.5302,-40.9124
-10.5078,-39.0153,-10.5078,-39.0153
-10.616,-38.2239,-10.616,-38.2239
-14.2044,-44.2744,-14.2044,-44.2744
-12.3914,-38.7563,-12.2664,-38.9663
-12.4335,-39.1176,-12.2664,-38.9663
-12.3268,-38.7684,-12.2664,-38.9663
-12.2333,-38.7487,-12.2664,-38.9663
-12.2664,-38.9663,-12.2664,-38.9663
-11.9515,-38.9681,-12.2664,-38.9663
-12.0311,-38.8694,-12.2664,-38.9663
-12.4331,-38.9663,-12.2664,-38.9663
-14.9823,-39.9269,-14.9823,-39.9269
-15.11,-40.0684,-14.9823,-39.9269
-11.0328,-45.193,-11.0328,-45.193
-11.4342,-42.5077,-11.4342,-42.5077
-9.34382,-38.2544,-9.34382,-38.2544
-9.3983,-38.2216,-9.34382,-38.2544
-14.3195,-39.469,-14.3195,-39.469
-14.2231,-42.7799,-14.2231,-42.7799
-16.5833,-39.7847,-16.5833,-39.7847
-16.5732,-39.5593,-16.5833,-39.7847
-10.6825,-38.2907,-10.6825,-38.2907
-14.5003,-42.2229,-14.2711,-42.257
-14.2711,-42.257,-14.2711,-42.257
-13.4059,-41.284,-13.4059,-41.284
-14.845,-39.9879,-14.845,-39.9879
-14.7528,-40.0894,-14.845,-39.9879
-14.7912,-40.1458,-14.845,-39.9879
-12.8804,-42.4856,-12.8804,-42.4856
-12.6444,-40.9338,-12.6444,-40.9338
-17.6832,-40.1129,-17.6832,-40.1129
-14.0643,-39.6459,-14.0643,-39.6459
-14.1226,-39.7353,-14.0643,-39.6459
-12.1779,-43.2167,-12.1779,-43.2167
-11.8049,-39.1203,-11.7431,-39.1905
-11.7431,-39.1905,-11.7431,-39.1905
-11.968,-39.1033,-11.7431,-39.1905
-13.774,-42.7155,-13.774,-42.7155
-13.9109,-42.8439,-13.774,-42.7155
-13.6059,-42.9397,-13.774,-42.7155
-13.9398,-39.1071,-13.8295,-39.1361
-13.8295,-39.1361,-13.8295,-39.1361
-14.793,-39.046,-14.793,-39.046
-11.781,-38.355,-11.781,-38.355
-12.3028,-39.3069,-12.3028,-39.3069
-12.428,-39.2505,-12.3028,-39.3069
-12.156,-39.3305,-12.3028,-39.3069
