unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 
HAB_P,HBEDI_PSY,CZ01	: 	: 	: 	: 	: 	: 	821.37 	787.38 d	776.18 	748.63 	743.01 	701.42 	695.79 	685.00 	673.52 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ02	: 	: 	: 	: 	: 	: 	1809.71 	1924.73 d	1907.46 	1890.56 	1870.83 	1847.29 	1821.86 	1788.18 	1747.42 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ03	: 	: 	: 	: 	: 	: 	707.54 	722.73 d	713.71 	689.04 	677.95 	677.39 	672.71 	669.36 	656.22 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ04	: 	: 	: 	: 	: 	: 	1292.58 	1247.89 d	1298.34 	1297.18 	1235.50 	1305.11 	1196.37 	1164.04 	1156.78 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ05	: 	: 	: 	: 	: 	: 	4197.80 	4579.51 d	5144.17 	5148.20 	5063.09 	5059.06 	5050.89 	5031.03 	5000.35 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ06	: 	: 	: 	: 	: 	: 	740.38 	739.45 d	740.45 	706.97 	700.53 	713.53 	704.38 	685.44 	660.90 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ07	: 	: 	: 	: 	: 	: 	690.54 	691.46 d	692.69 	693.32 	673.46 	647.12 	645.77 	645.68 	639.77 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,CZ08	: 	: 	: 	: 	: 	: 	1271.44 	1275.89 d	1292.73 	1289.20 	1204.95 	1162.54 	1124.01 	1121.70 	1122.00 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDI_PSY,DE	: 	: 	: 	: 	: 	: 	785.51 	786.88 	791.81 	798.87 	813.17 	840.15 	871.47 	887.32 	908.28 	921.93 	934.14 	936.45 	938.26 	945.83 	930.57 	930.57 	928.46 	923.81 	917.21 	900.66 	870.37 	861.32 	851.57 
HAB_P,HBEDI_PSY,DE1	: 	: 	: 	: 	: 	: 	760.81 	773.81 	779.37 	784.87 	792.95 	804.83 	830.48 	845.70 	880.53 	894.84 	914.69 	901.93 	890.19 	894.05 	896.36 	894.32 	914.19 	905.88 	887.05 	896.77 	892.10 	898.21 	892.57 
HAB_P,HBEDI_PSY,DE2	: 	: 	: 	: 	: 	: 	814.46 	822.95 	835.84 	852.21 	868.01 	902.14 	922.12 	952.75 	969.72 	997.42 	1037.42 	1024.44 	1057.22 	1065.76 	1036.99 	1047.57 	1037.74 	1011.60 	995.96 	993.85 	996.48 	999.80 	1003.13 
HAB_P,HBEDI_PSY,DE3	: 	: 	: 	: 	: 	: 	1346.28 	1307.72 	1308.64 	1303.23 	1309.87 	1351.23 	1410.99 	1433.22 	1409.15 	1435.65 	1446.27 	1452.27 	1494.25 	1490.95 	1413.49 	1326.18 	1256.57 	1168.99 	1019.33 	887.80 	705.20 	662.03 	619.41 
HAB_P,HBEDI_PSY,DE4	: 	: 	: 	: 	: 	: 	757.85 	753.31 	758.08 	744.41 	788.83 	799.48 	810.63 	856.17 	896.25 	932.32 	938.01 	955.09 	1009.57 	1036.33 	936.04 	950.18 	933.74 	968.43 	1060.33 	1084.36 	1149.57 	1165.98 	1286.79 
HAB_P,HBEDI_PSY,DE5	: 	: 	: 	: 	: 	: 	897.29 	908.59 	1006.26 	981.20 	1010.58 	1002.43 	1021.28 	1027.09 	1044.93 	1055.20 	1054.59 	872.59 	939.88 	919.16 	905.26 	801.99 	816.58 	818.20 	770.61 	779.29 	718.70 	713.68 	708.56 
HAB_P,HBEDI_PSY,DE6	: 	: 	: 	: 	: 	: 	973.19 	1007.21 	1010.63 	1014.24 	1048.98 	1102.64 	1220.35 	1257.18 	1286.43 	1285.96 	1283.56 	1310.01 	1404.25 	1461.58 	1452.22 	1410.94 	1260.11 	1300.54 	1322.76 	1287.07 	1277.61 	1275.73 	1261.78 
HAB_P,HBEDI_PSY,DE7	: 	: 	: 	: 	: 	: 	616.03 	616.58 	606.31 	619.66 	633.78 	647.82 	671.18 	686.43 	700.49 	718.11 	727.86 	745.58 	719.49 	725.75 	743.33 	730.74 	711.51 	705.99 	716.43 	674.28 	678.43 	637.84 	620.11 
HAB_P,HBEDI_PSY,DE8	: 	: 	: 	: 	: 	: 	534.36 	553.26 	557.52 	577.25 	612.95 	632.70 	649.35 	646.07 	667.21 	689.58 	714.54 	680.84 	734.13 	731.02 	745.27 	802.21 	878.12 	930.95 	1025.17 	1168.25 	1267.47 	1401.90 	1560.79 
