unit,age,sex,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
NR,TOTAL,M,LV	: 	1654 	1642 	1652 	1602 	1623 	1618 	1651 	1650 	1635 	1661 	1698 	1797 	1885 	1871 	1818 	1802 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,ME	: 	626 	613 	619 	594 	584 	547 	521 	514 	488 	480 	490 	515 	528 	501 	512 	506 	493 	470 	494 	509 	504 	500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,MK	: 	2393 	2410 	2398 	2374 	2365 	2322 	2345 	2303 	2316 	2314 	2253 	2178 	2156 	2045 	2696 b	1827 	1867 	1841 	1907 	1895 	1955 	1983 	2035 	2068 	2070 	2147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,MT	: 	1224 	1165 	1124 	1088 	1037 	982 	962 	916 	877 	837 b	826 	848 b	985 d	: 	: 	: 	: 	983 d	1020 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,NL	: 	28585 	28386 	28101 b	28031 	27953 	27974 	27922 b	27541 	27556 	27203 	26565 	26533 	26480 	26407 	27027 	26486 	26241 	26294 	26104 	25691 	25172 	24721 b	30565 	: 	: 	: 	: 	: 	: 	: 	28341 	26937 	26869 	26151 	25434 	24771 	24163 	23356 	22627 	22192 	21493 
NR,TOTAL,M,NO	13291 	13205 	13155 	12920 	12758 	12404 	12134 b	12298 	12070 	11905 	11808 	11609 	11457 b	11275 	11049 	10778 	10583 	10202 	9769 	9760 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,PL	: 	: 	: 	: 	38966 	39308 	38094 	38141 	37089 	37677 	36737 	36070 	36780 	36479 	37027 	37084 	37324 b	40407 b	45726 b	40492 	39969 	38960 	40140 	40841 	41092 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,PT	: 	24513 	24005 	23465 	23002 	22489 	21960 	21455 	21082 	20671 	20463 	20055 	19645 	19254 	18957 	18717 	18462 	18101 	17842 	17639 	17463 	17233 	17027 	16836 	16618 	16479 	16340 	16322 	16321 	16444 	16366 	16315 	16218 	15968 	15893 	15696 	15003 	15045 	14508 	14135 	13724 	12841 
NR,TOTAL,M,RO	: 	18889 b	18259 b	17677 	17291 	17083 	16744 	16655 	16475 	16394 	15920 	15701 b	15418 	15370 	14896 	15150 	14845 	16033 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,RS	6699 	6450 b	: 	7208 	7221 	7280 b	7593 	7681 	7823 	7897 	7953 	7995 	7919 	7897 	7718 	7593 	7597 	7754 	7826 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,SE	: 	: 	21858 	22168 	21913 	21613 	21218 	20944 	20595 	20165 	19833 	19474 	19223 	18879 	18747 	18349 	18010 	17773 	17345 	17099 	16667 	16269 	16045 	15940 	15732 	15818 	15843 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,TOTAL,M,SI	: 	2538 	2499 	2414 	2371 	2317 	2193 	2195 	2078 	2058 	2075 	2029 	2027 	2022 	2012 	2019 	2013 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
