unit,age,sex,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
NR,Y45-54,F,RO	: 	9655 	9237 	8852 	8662 	8668 	8519 	8398 	8295 	8110 	8105 	8375 b	9389 	9856 	9881 	10250 	10480 	10850 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,RS	3752 	3735 b	: 	3901 	3929 	4073 b	4522 	4624 	4741 	4749 	4779 	4861 	4894 	4866 	4802 	4648 	4467 	4340 	4080 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,SE	: 	: 	4819 	4643 	4442 	4180 	4008 	3884 	3785 	3712 	3673 	3707 	3762 	3838 	3867 	3912 	3843 	3814 	3885 	3909 	3866 	3745 	3628 	3500 	3294 	3177 	3054 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,SI	: 	878 	879 	860 	854 	864 	854 	863 	874 	869 	880 	880 	899 	904 	896 	874 	858 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,SK	: 	2714 	2610 	2510 	2302 	2240 	2083 	2009 	1972 	2066 	2068 	2230 	2428 	2702 	2963 	2979 	3045 	3380 	3415 	3437 	3370 	3392 	3065 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,F,TR	: 	15142 	14639 	13900 b	13616 e	13147 e	12823 e	12310 e	12143 e	11780 e	11440 e	11206 e	10770 e	10271 e	9840 e	9484 e	9155 e	8815 e	8575 e	8347 e	8152 e	7738 e	7231 e	6816 e	6494 e	6274 e	6157 e	5976 e	5542 e	5173 e	4946 e	4597 e	4240 e	3858 e	3525 e	3399 e	3307 e	3104 e	2929 e	2810 e	2579 e	2473 e
NR,Y45-54,F,UK	: 	: 	20222 	19842 e	18590 	17427 	16872 b	16885 	16221 	15712 	15034 	14187 	13465 b	12823 	11497 	10781 	10121 	9524 	8761 	8167 	7675 	7243 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,AT	5258 	5220 	5291 	5495 	5807 	6197 	6186 	6372 	7034 	7374 	7711 	7866 	8091 	8130 	8042 	7785 	7433 	6987 	6668 	6401 	5942 	5607 	5149 	4883 	4721 	4476 	4239 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,BE	: 	3816 	3841 	3937 	4140 	4251 	4386 	4554 	4841 	5191 	5491 	5853 	6188 	6493 	6755 	7031 	7229 	7346 	7441 	7474 	7408 	7310 	7079 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,BG	: 	3073 	3275 	3639 	3974 	4181 	4518 	4788 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,CH	5643 	5650 	5621 	5648 	5711 	5769 	5778 	5875 	5910 	5872 	5878 	5965 	6033 	6064 b	6137 	6137 	6108 	6095 	6153 	6088 	6010 	5978 	: 	: 	: 	5264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,CY	: 	: 	511 	457 	440 	420 	395 	389 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	534 	: 	: 	: 	: 	324 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,CZ	: 	3995 e	4288 be	: 	: 	: 	: 	: 	3873 	3930 	4042 	4197 	4386 	4582 	4856 	5134 	5270 	5267 	5218 	5115 	5002 	4813 b	3990 	3752 	3676 	3111 	3004 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,DE	: 	39849 	40180 	40696 	41494 	42340 	43355 	44950 	46719 	48455 	50923 	52814 	54206 	55309 	55863 	55966 	55841 	55313 	54767 	53812 	52894 	52000 	51572 	51372 	50823 	50473 	49370 	48149 	48205 	47926 	47318 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,DK	: 	: 	2084 	2000 	1965 	1904 	1941 	2056 	2154 	2313 	2441 	2616 	2753 	2905 	3005 	3209 	3377 	3486 	3511 	3645 	3739 	3879 	3957 	4023 	3941 	3755 	3583 	3386 	3215 	3031 b	2636 	2581 	2267 	2111 	1820 	1725 	1628 	1596 	1490 	1443 	1398 	1320 
NR,Y45-54,M,EE	: 	231 	241 	248 	243 	253 	257 	247 	259 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,EL	: 	10590 	10427 	10207 	9848 	9322 	8930 	8557 	8575 	8490 	8684 	8710 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8879 	8636 	8496 	8476 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,ES	: 	21466 	19200 	15967 	16033 	17200 	20400 	23233 	26333 	25900 	25000 	26833 	29567 	31467 	32633 	35367 	35200 	30667 	24500 	23733 	24834 	24633 	21700 	19200 	18033 	17433 	: 	: 	: 	: 	: 	10900 	: 	: 	: 	: 	12300 	: 	: 	: 	: 	11600 
NR,Y45-54,M,FI	: 	: 	: 	1560 	1586 	1608 	1629 	1698 	1727 	1758 	1799 	1916 	1997 	2111 	2191 	2267 	2288 	2337 b	2823 	2790 	2788 	2737 	2669 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,FR	: 	20370 	21169 	22360 	23841 	25447 	27119 	29125 	31565 	33933 	36576 b	40164 	42688 b	45534 	47756 	49953 	51910 	53618 	55082 	56392 	56774 	56384 	54773 	52792 	50133 	46910 	43015 	39039 	35205 	30980 	26938 	24090 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,HR	: 	988 	1035 	1083 	1120 	1164 	1278 	1276 	1471 	1537 	1546 	1546 	1537 b	1560 	1552 	1505 	1439 	1376 	1335 	1297 	1329 	1367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,HU	: 	2438 b	2837 	2838 	2928 	2911 	2900 b	3313 	3292 	3287 	3226 	3220 b	3501 	3574 b	3535 b	3789 	3585 b	3955 b	4462 	4310 b	3957 e	3731 be	4396 	4425 	4494 	4572 	4546 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,IE	2231 b	2165 	2105 	2132 	2039 	2050 	2044 	2055 b	2675 	2645 	2745 	: 	: 	2752 	2660 	2418 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,IS	: 	: 	189 	181 	165 	158 b	155 	175 	186 	194 	223 	240 	244 	252 	266 	284 	286 b	271 	285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,IT	18121 p	18547 	19740 	21240 	23048 	24873 	27169 	30360 	33916 	37561 b	61502 	69089 	76104 	82725 	88746 	93527 	97387 	97693 e	96749 e	94018 e	89204 e	82588 be	81041 	72419 	63561 	54834 	47040 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,LI	27 	26 	29 	26 	26 	28 	27 	29 	29 	28 	29 	31 b	28 d	25 d	24 d	23 d	24 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,LT	: 	704 e	726 e	740 be	874 e	903 e	927 e	963 e	1018 e	1065 e	1026 e	992 e	1050 e	1107 e	1191 be	1236 	1212 	1200 	1193 	1245 	1183 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,LU	: 	: 	: 	: 	307 	313 	322 	339 	350 	377 	396 	405 	394 	391 	371 	365 	352 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,LV	: 	301 	322 	360 	392 	417 	447 	481 	509 	545 	560 	578 	600 	599 	577 	559 	536 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,ME	: 	123 	117 	119 	120 	119 	128 	134 	157 	160 	175 	176 	182 	195 	179 	175 	158 	150 	138 	132 	132 	143 	147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,MK	: 	460 	465 	443 	504 	538 	573 	585 	635 	658 	708 	774 	826 	826 	859 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,MT	: 	185 	176 	180 	199 	218 	221 	244 	261 	260 	273 b	268 	267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,NL	: 	5319 	5353 	5386 b	5558 	5774 	5997 	6352 b	6745 	7126 	7627 	7984 	8261 	8595 	8831 	9201 	9268 	9375 	9398 	9517 	9557 	9538 	9210 b	9753 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3705 	: 	: 	: 	: 	: 
NR,Y45-54,M,NO	2855 	2738 	2663 	2536 	2431 	2322 	2338 b	2416 	2368 	2351 	2456 	2556 	2683 b	2756 	2892 	2963 	3104 	3145 	3076 	3250 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,RO	: 	3960 	3802 	3683 	3650 	3668 	3566 	3489 	3588 	3458 	3346 	3456 b	3818 	4174 	4053 	4451 	4691 	5349 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,RS	1555 	1563 b	: 	1883 	1936 	2041 b	2208 	2348 	2488 	2580 	2624 	2680 	2720 	2710 	2630 	2564 	2551 	2450 	2341 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,SE	: 	: 	4769 	4725 	4615 	4484 	4442 	4479 	4450 	4430 	4511 	4624 	4713 	4834 	4962 	5160 	5289 	5418 	5714 	5952 	6113 	6206 	6275 	6304 	6194 	6119 	5969 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,SI	: 	485 	487 	478 	485 	493 	493 	516 	502 	505 	547 	549 	564 	594 	600 	576 	563 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,SK	: 	1898 	1871 	1859 	1686 	1718 	1629 	1600 	1556 	1567 	1632 	1740 	1920 	2127 	2349 	2392 	2448 	2650 	2711 	2775 	2770 	2770 	2520 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,M,TR	: 	24560 	24524 	24504 b	24003 e	23176 e	22605 e	21702 e	21407 e	20766 e	20167 e	19754 e	18985 e	18107 e	17347 e	16718 e	16139 e	15540 e	15117 e	14714 e	14371 e	13641 e	12747 e	12016 e	11449 e	11060 e	10854 e	10535 e	9769 e	9119 e	8719 e	8103 e	7474 e	6801 e	6213 e	5992 e	5829 e	5472 e	5163 e	4954 e	4546 e	4359 e
NR,Y45-54,M,UK	: 	: 	24841 	24671 e	24143 	23628 	23572 b	24276 	24275 	24586 	24467 	24074 	24001 b	23961 	22786 	22289 	21841 	21307 	20476 	19852 	19293 	19029 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,AT	11002 	10700 	10644 	10831 	11337 	11912 	11898 	12103 	12975 	13289 	13669 	13797 	13832 	13649 	13191 	12501 	11631 	10569 	9887 	9235 	8484 	7823 	7049 	6558 	6272 	5922 	5600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,BE	: 	8362 	8180 	8195 	8293 	8258 	8192 	8180 	8337 	8641 	8850 	9108 	9391 	9618 	9798 	9996 	10105 	10133 	10124 	9934 	9679 	9443 	9027 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,BG	: 	6465 	6928 	7642 	8184 	8745 	9448 	10297 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,CH	10535 	10290 	10060 	9961 	9955 	9847 	9660 	9576 	9461 	9265 	9135 	9183 	9090 	8942 b	8925 	8756 	8556 	8357 	8278 	7990 	7771 	7630 	: 	: 	: 	6493 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,CY	: 	: 	810 	746 	705 	706 	687 	690 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	709 	: 	: 	: 	: 	398 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,CZ	: 	9184 e	9595 be	: 	: 	: 	: 	: 	8508 	8656 	8882 	9132 	9565 	9991 	10486 	10952 	11149 	11137 	11005 	10843 	10574 	10306 b	8907 	8455 	8330 	7506 	7297 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,DE	: 	81548 	80781 	80045 	80318 	80976 	81804 	83991 	86349 	88334 	91591 	93445 	94704 	95581 	95311 	94550 	93471 	91635 	89825 	87318 	84472 	81682 	79498 	77630 	75286 	73173 	70331 	67490 	66668 	65275 	64394 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,DK	: 	: 	4861 	4671 	4558 	4392 	4351 	4456 	4534 	4696 	4803 	4933 	5029 	5114 	5171 	5328 	5445 	5444 	5333 	5414 	5406 	5510 	5491 	5483 	5264 	4915 	4639 	4338 	4122 	3858 b	3361 	3250 	2851 	2629 	2251 	2119 	1995 	1950 	1796 	1747 	1656 	1570 
NR,Y45-54,T,EE	: 	809 	846 	899 	930 	1008 	1047 	1070 	1110 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,EL	: 	19124 	18715 	17945 	17386 	16538 	15295 	14793 	14621 	14356 	14490 	14255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12443 	11984 	11595 	11627 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,ES	: 	48833 	45767 	39967 	38766 	40233 	44167 	47300 	48566 	49100 	49333 	52033 	53234 	55334 	55600 	55734 	52733 	46200 	38600 	35633 	34967 	32833 	28100 	24500 	23100 	21800 	: 	: 	: 	: 	: 	12500 	: 	: 	: 	: 	13300 	: 	: 	: 	: 	12800 
NR,Y45-54,T,FI	: 	: 	: 	4369 	4485 	4483 	4504 	4596 	4625 	4597 	4641 	4769 	4832 	4856 	4907 	4885 	4807 	4704 b	5282 	5070 	4863 	4671 	4411 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,FR	: 	41433 	42381 	44040 	45941 	47837 	49690 	52191 	55403 	58495 	61672 b	69169 	72363 b	75606 	78379 	81087 	83335 	85117 	86040 	86364 	85571 	83593 	79855 	76255 	71214 	65670 	59411 	53136 	47199 	41211 	35733 	31874 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,HR	: 	2978 	3074 	3168 	3216 	3234 	3415 	3394 	3724 	3780 	3797 	3793 	3761 b	3772 	3748 	3728 	3577 	3426 	3309 	3221 	3224 	3182 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,HU	: 	5341 b	6015 	6051 	6296 	6315 	6332 b	7101 	7296 	7283 	7304 	7361 b	7840 	7944 b	7800 b	8505 	8087 b	8961 b	10202 	9935 b	8867 e	8242 be	9681 	9570 	9424 	9412 	9256 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,IE	4050 b	3873 	3725 	3755 	3498 	3436 	3354 	3283 b	4051 	3917 	3989 	: 	: 	3805 	3702 	3327 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,IS	: 	: 	317 	313 	293 	288 b	285 	303 	312 	323 	355 	362 	359 	358 	377 	387 	374 b	349 	359 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,IT	41794 p	41642 	42631 	44142 	46123 	48271 	51097 	55725 	61033 	66281 b	104373 	114308 	123040 	130807 	137584 	142293 	144999 	141540 e	137005 e	130385 e	121050 e	109748 be	105617 	92350 	79212 	66919 	56497 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,LI	41 	40 	45 	42 	42 	45 	42 	43 	41 	38 	40 	39 b	34 d	31 d	30 d	29 d	31 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,LT	: 	2365 e	2448 e	2489 be	2879 e	2983 e	3058 e	3198 e	3446 e	3507 e	3549 e	3575 e	3737 e	3826 e	4143 be	4132 	4051 	4001 	3987 	3958 	3782 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,LU	: 	: 	: 	: 	509 	511 	522 	534 	532 	553 	566 	562 	547 	536 	522 	500 	478 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,LV	: 	1200 	1265 	1397 	1495 	1583 	1692 	1785 	1904 	1972 	2040 	2111 	2179 	2202 	2149 	2078 	2032 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,ME	: 	362 	342 	342 	357 	360 	379 	400 	429 	434 	457 	454 	454 	461 	439 	424 	377 	337 	308 	301 	303 	319 	310 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,MK	: 	1194 	1226 	1189 	1302 	1407 	1496 	1566 	1680 	1740 	1826 	2037 	2112 	2191 	2211 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,MT	: 	274 	271 	280 	297 	321 	334 	353 	364 	362 	372 b	354 	353 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,NL	: 	12498 	12268 	12144 b	12200 	12157 	12259 	12348 b	12461 	12663 	12915 	13048 	13200 	13352 	13334 	13610 	13381 	13350 	13170 	13115 	12909 	12664 	12019 b	12854 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4579 	: 	: 	: 	: 	: 
NR,Y45-54,T,NO	5805 	5544 	5300 	5005 	4751 	4544 	4436 b	4452 	4302 	4246 	4306 	4388 	4413 b	4438 	4522 	4463 	4481 	4387 	4206 	4307 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,RO	: 	13615 	13039 	12535 	12312 	12336 	12085 	11887 	11883 	11568 	11451 	11831 b	13207 	14030 	13934 	14701 	15171 	16199 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,RS	5307 	5298 b	: 	5784 	5865 	6114 b	6730 	6972 	7229 	7329 	7403 	7541 	7614 	7576 	7432 	7212 	7018 	6790 	6421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,SE	: 	: 	9588 	9368 	9057 	8664 	8450 	8363 	8235 	8142 	8184 	8331 	8475 	8672 	8829 	9072 	9132 	9232 	9599 	9861 	9979 	9951 	9903 	9804 	9488 	9296 	9023 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,SI	: 	1363 	1366 	1338 	1339 	1357 	1347 	1379 	1376 	1374 	1427 	1429 	1463 	1498 	1496 	1450 	1421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,SK	: 	4612 	4481 	4369 	3988 	3958 	3712 	3609 	3528 	3633 	3700 	3970 	4348 	4829 	5312 	5371 	5493 	6030 	6126 	6212 	6140 	6162 	5585 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y45-54,T,TR	: 	39702 	39163 	38404 b	37619 e	36323 e	35428 e	34012 e	33550 e	32546 e	31607 e	30960 e	29755 e	28378 e	27187 e	26202 e	25294 e	24355 e	23692 e	23061 e	22523 e	21379 e	19978 e	18832 e	17943 e	17334 e	17011 e	16511 e	15311 e	14292 e	13665 e	12700 e	11714 e	10659 e	9738 e	9391 e	9136 e	8576 e	8092 e	7764 e	7125 e	6832 e
NR,Y45-54,T,UK	: 	: 	45065 	44513 e	42732 	41051 	40445 b	41161 	40496 	40298 	39501 	38261 	37466 b	36784 	34283 	33070 	31962 	30831 	29237 	28019 	26968 	26272 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,AT	4968 	4779 	4635 	4415 	3915 	3464 	3570 	3461 	2806 	2463 	2095 	1973 	1667 	1465 	1324 	1209 	1104 	1064 	992 	946 	870 	776 	727 	682 	594 	508 	421 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,BE	: 	3074 	3000 	2918 	2849 	2800 	2684 	2564 	2467 	2280 	2103 	1948 	1784 	1581 	1375 	1225 	1031 	894 	736 	671 	584 	520 	462 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,BG	: 	5805 	5928 	5831 	5806 	5576 	5292 	5028 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,CH	3469 	3337 	3182 	2992 	2818 	2619 	2442 	2261 	2119 	1937 	1747 	1589 	1512 	1356 b	1290 	1206 	1088 	1023 	930 	850 	770 	720 	: 	: 	: 	435 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,CY	: 	: 	372 	364 	351 	339 	316 	283 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32 	: 	: 	: 	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,CZ	: 	4307 e	4275 be	: 	: 	: 	: 	: 	5247 	5077 	4899 	4770 	4484 	4205 	3996 	3853 	3744 	3585 	3456 	3342 	3074 	2753 b	2267 	2037 	1875 	1663 	1558 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,DE	: 	60017 	59216 	57818 	55995 	53980 	51833 	49449 	46272 	43925 	40412 	37461 	34930 	32645 	30716 	28927 	27884 	26030 	24955 	23800 	22632 	21538 	20255 	19340 	18740 	18112 	17876 	17074 	15902 	14639 	13447 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,DK	: 	: 	2122 	2082 	2048 	1991 	1926 	1818 	1723 	1660 	1565 	1487 	1394 	1306 	1187 	1097 	984 	908 	830 	769 	696 	607 	519 	445 	358 	308 	290 	274 	244 	242 b	218 	220 	225 	219 	207 	204 	202 	210 	182 	189 	185 	165 
NR,Y55-64,F,EE	: 	907 	937 	918 	909 	895 	899 	889 	884 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,EL	: 	5491 	5396 	5110 	4861 	4803 	4203 	4195 	3957 	3710 	3489 	3282 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	561 	527 	487 	480 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,Y55-64,F,ES	: 	27633 	24600 	21900 	20933 	20700 	19367 	16300 	13500 	11767 	10900 	10033 	8933 	7067 	5300 	3900 	4000 	3901 	3366 	2333 	1500 	1367 	1133 	1099 	966 	900 	: 	: 	: 	: 	: 	1100 	: 	: 	: 	: 	500 	: 	: 	: 	: 	400 
