# Duracoes outliers (longas, porem reais)
# ORIGEM	DESTINO	DISTÂNCIA (km)	DURACAO (s)
param: K_out: dist_out dur_out :=
# 130360	260960	4824.81		413555
# 130360	261070	4820.09		413151
# 130360	261110	4047.93		346966
# 130360	261160	4822.70		413374
# 130360	270430	4763.58		408307
# 130360	280030	4624.16		396357
# 130360	291080	4424.34		379230
# 130360	292740	4537.61		388939
# 130360	293330	4345.50		372472
# 130360	310620	4422.80		379097
# 130360	310670	4396.09		376808
# 130360	311860	4407.33		377771
# 130360	313670	4674.19		400645
# 130360	314330	4118.14		352984
# 130360	315460	4387.77		376095
# 130360	317010	3970.76		340351
# 130360	317020	3850.93		330080
# 130360	320130	4860.99		416657
# 130360	320500	4861.94		416738
# 130360	320520	4877.36		418060
# 130360	320530	4871.99		417599
# 130360	330045	4775.31		409313
# 130360	330100	4893.54		419446
# 130360	330170	4787.88		410390
# 130360	330330	4823.59		413451
# 130360	330350	4770.13		408869
# 130360	330390	4771.49		408986
# 130360	330455	4805.85		411931
# 130360	330490	4821.31		413256
# 130360	330510	4782.73		409949
# 130360	350600	4179.56		358248
# 130360	350950	4432.07		379892
# 130360	351060	4527.35		388059
# 130360	351380	4565.42		391322
# 130360	351620	4123.16		353414
# 130360	351870	4636.29		397397
# 130360	351880	4547.62		389796
# 130360	352310	4565.55		391333
# 130360	352590	4481.07		384092
# 130360	352690	4358.95		373625
# 130360	352940	4577.78		392382
# 130360	353060	4584.27		392938
# 130360	353440	4530.75		388350
# 130360	353870	4355.06		373292
# 130360	354100	4621.59		396137
# 130360	354340	4157.37		356347
# 130360	354780	4570.13		391726
# 130360	354850	4620.62		396053
# 130360	354870	4574.23		392078
# 130360	354980	3966.58		339993
# 130360	354990	4574.90		392134
# 130360	355030	4555.76		390494
# 130360	355100	4620.77		396066
# 130360	355220	4466.33		382829
# 130360	355410	4588.44		393295
# 130360	410480	4196.36		359688
# 130360	410690	4556.50		390558
# 130360	411370	4133.72		354319
# 130360	411520	4089.94		350566
# 130360	411990	4443.74		380893
# 130360	412550	4576.20		392247
# 130360	420240	4766.67		408572
# 130360	420540	4892.58		419364
# 130360	420910	4701.84		403015
# 130360	430460	5029.38		431090
# 130360	430510	4925.22		422162
# 130360	431440	5217.82		447243
# 130360	431490	5041.69		432146
# 130360	500270	3498.39		299862
# 130360	510340	2730.21		234019
# 130360	520110	3494.20		299503
# 130360	520140	3517.51		301501
# 130360	520870	3498.93		299909
# 130360	530010	3556.58		304850
# 130380	110020	1434.86		122988
# 130380	120040	1535.99		131657
# 130380	140010	1098.77		94181
# 130380	150080	2918.62		250168
# 130380	150140	2900.90		248649
# 130380	150680	1956.54		167704
# 130380	160030	2494.04		213775
# 130380	172100	3292.95		282254
# 130380	211130	3564.47		305526
# 130380	221100	3850.89		330077
# 130380	230370	4456.28		381967
# 130380	230440	4466.73		382863
# 130380	240810	5022.85		430531
# 130380	250400	4967.40		425778
# 130380	250750	5118.31		438713
# 130380	260410	4989.40		427663
# 130380	260790	5142.98		440827
# 130380	260960	5146.03		441089
# 130380	261070	5141.37		440690
# 130380	261110	4363.58		374021
# 130380	261160	5143.82		440899
# 130380	270430	5081.84		435587
# 130380	280030	4938.83		423329
# 130380	291080	4733.38		405719
# 130380	292740	4844.75		415265
# 130380	293330	4641.74		397864
# 130380	310620	4685.12		401582
# 130380	310670	4657.15		399184
# 130380	311860	4669.08		400207
# 130380	313670	4929.51		422530
# 130380	314330	4397.38		376919
# 130380	315460	4650.33		398600
# 130380	317010	4214.92		361280
# 130380	317020	4098.08		351264
# 130380	320130	5134.17		440073
# 130380	320500	5136.07		440235
# 130380	320520	5150.62		441482
# 130380	320530	5145.25		441022
# 130380	330045	5025.34		430744
# 130380	330100	5156.67		442001
# 130380	330170	5038.14		431841
# 130380	330330	5074.26		434937
# 130380	330350	5019.94		430281
# 130380	330390	5023.72		430605
# 130380	330455	5056.00		433372
# 130380	330490	5072.55		434791
# 130380	330510	5032.68		431373
# 130380	350600	4402.04		377318
# 130380	350950	4663.39		399720
# 130380	351060	4756.52		407702
# 130380	351380	4795.00		411000
# 130380	351620	4365.75		374208
# 130380	351870	4866.24		417106
# 130380	351880	4778.85		409616
# 130380	352310	4797.69		411231
# 130380	352590	4711.83		403872
# 130380	352690	4590.26		393451
# 130380	352940	4808.34		412144
# 130380	353060	4817.00		412887
# 130380	353440	4760.24		408021
# 130380	353870	4584.07		392921
# 130380	354100	4850.68		415773
# 130380	354340	4394.03		376632
# 130380	354780	4800.36		411460
# 130380	354850	4850.50		415758
# 130380	354870	4804.09		411779
# 130380	354980	4195.85		359645
# 130380	354990	4811.09		412379
# 130380	355030	4786.25		410250
# 130380	355100	4850.18		415730
