original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,county,state_code,state,country,country_code,attribution,attribution_license,attribution_url
"3,3208669","49,3725307",27.9496174801164,"31 Rue Anne Morgan, 02200 Soissons, France",49.372772,3.320975,"3,320866949,3725307",,31,Rue Anne Morgan,2200,,,Soissons,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,330489","49,371755",0.485407729353253,"12 Rue d'Oulchy-le-Château, 02200 Belleu, France",49.3717574,3.3304946,"3,33048949,371755",,12,Rue d'Oulchy-le-Château,2200,,Belleu,Belleu,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,597104","49,552618",0.222390159905585,"38 Rue Marguerite Clerbout, 02000 Laon, France",49.55262,3.597104,"3,59710449,552618",,38,Rue Marguerite Clerbout,2000,,Laon,Laon,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,329698","49,372728",0.111195079952792,"1 Rue d’Oulchy Le Chateau, 02200 Soissons, France",49.372729,3.329698,"3,32969849,372728",,1,Rue d’Oulchy Le Chateau,2200,,Soissons,Soissons,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,266211","49,857602",1.45151053425123,"241 Rue de Fayet, 02100 Saint-Quentin, France",49.85761,3.266227,"3,26621149,857602",,241,Rue de Fayet,2100,,,Saint-Quentin,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,5280731999","49,663612699",637.406905783511,"10 Lieu Dit Framicourt, 80500 Fontaine-sous-Montdidier, France",49.669182,2.525976,"2,528073199949,663612699",,10,Lieu Dit Framicourt,80500,,Fontaine-Sous-Montdidier,Fontaine-sous-Montdidier,Somme,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,1911159999","49,713413",3.05591821132766,"Mairie de Flavy-le-Martel, 4 Place du Général de Gaulle, 02520 Flavy-le-Martel, France",49.7134072,3.19125155053763,"3,191115999949,713413",Mairie de Flavy-le-Martel,4,Place du Général de Gaulle,2520,,Flavy-Le-Martel,Flavy-le-Martel,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,3924359999","49,390092",48.7964832862654,"14 Rue Pasteur, 02880 Bucy-le-Long, France",49.389956,3.391795,"3,392435999949,390092",,14,Rue Pasteur,2880,,Bucy-Le-Long,Bucy-le-Long,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,2251066","49,6122088",11.9380877579541,"4B Rue Ferdinand Buisson, 02300 Chauny, France",49.612304,3.22503,"3,225106649,6122088",,4B,Rue Ferdinand Buisson,2300,,,Chauny,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,265796","49,859016",9.72515845374287,"263 Rue de Fayet, 02100 Saint-Quentin, France",49.859058,3.265915,"3,26579649,859016",,263,Rue de Fayet,2100,,,Saint-Quentin,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,288038","49,850076",0.132305978650329,"4 Rue Paul Doumer, 02100 Saint-Quentin, France",49.850077,3.288039,"3,28803849,850076",,4,Rue Paul Doumer,2100,,Dallon,Saint-Quentin,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,6411691","49,9031473",8.93715715978646,"942 Rue Des Docteurs Devillers, 02120 Guise, France",49.903089,3.641255,"3,641169149,9031473",,942,Rue Des Docteurs Devillers,2120,,Guise,Guise,Aisne,,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,3295648","49,3761796",0,"Place de la République, 02200 Soissons, France",49.3762084,3.3296364,"3,329564849,3761796",Place de la République,,Place de la République,2200,,,Soissons,Aisne,HDF,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,662449","46,28558",0.0768429550793192,"16 Rue Voltaire, 03310 Néris-les-Bains, France",46.28558,2.662448,"2,66244946,28558",,16,Rue Voltaire,3310,,Neris-Les-Bains,Néris-les-Bains,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,325264","46,570294",0,"Centre hospitalier de Moulins-Yzeure, 40 Cours de Bercy, 03000 Moulins, France",46.5705892,3.3278289,"3,32526446,570294",Centre hospitalier de Moulins-Yzeure,40,Cours de Bercy,3000,,Résidence Banville,Moulins,Allier,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,60863","46,342735",0,"18 Avenue Du 8 Mai 1945, 03100 Montluçon, France",46.342735,2.60863,"2,6086346,342735",,18,Avenue Du 8 Mai 1945,3100,,Montluçon,Montluçon,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,434927","46,124934",0.111195079952792,"1 Boulevard Denière, 03200 Vichy, France",46.124935,3.434927,"3,43492746,124934",,1,Boulevard Denière,3200,,Vichy,Vichy,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"3,0466903","46,5771794",4.04509667604023,"D 953, 03160 Bourbon-l'Archambault, France",46.5761861,3.0566872,"3,046690346,5771794",D 953,,D 953,3160,,,Bourbon-l'Archambault,Allier,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,693116","46,70358",4.11118060439193,"Rue du Pavé, 03360 Ainay-le-Château, France",46.7053209,2.6933778,"2,69311646,70358",Rue du Pavé,,Rue du Pavé,3360,,,Ainay-le-Château,Allier,ARA,Auvergne-Rhône-Alpes,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,066237","46,420539",26.9079616031421,"2 Passage De La Mairie, 03240 Tronget, France",46.420451,3.06591,"3,06623746,420539",,2,Passage De La Mairie,3240,,Tronget,Tronget,Allier,,Auvergne-Rhone-Alpes,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
