original_lon,original_lat,distance,formatted,lat,lon,KEY,housenumber,name,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"-2,213847999","47,2734979",0.278060818920326,"Brit Hotel Le Korali, 44600 Saint-Nazaire, France",47.2735,-2.21385,"-2,21384799947,2734979",,Brit Hotel Le Korali,,44600,Saint-Nazaire,,Saint-Nazaire,Loire-Atlantique,Pays de la Loire,PDL,France,fr,,CC BY 4.0,https://www.geonames.org/datasources/
"-1,6122585","47,2268127",57.8141671588802,"17 Avenue Claude Bernard, 44800 Saint-Herblain, France",47.2269135,-1.6130096,"-1,612258547,2268127",17,,Avenue Claude Bernard,44800,Les Hauts Moulins,Les Quatre Vents,Saint-Herblain,Loire-Atlantique,Pays de la Loire,PDL,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,633484","47,691104",0.96087319234803,"Centre hospitalier Pierre Dezarnaulds, Rue du Pont Boucherot, 45500 Gien, France",47.69009355,2.63513858469473,"2,63348447,691104",,Centre hospitalier Pierre Dezarnaulds,Rue du Pont Boucherot,45500,Les Mussis,,Gien,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,770099","47,996702",9.64393283757311,"658 Rue Des Bourgoins, 45200 Amilly, France",47.996662,2.770214,"2,77009947,996702",658,,Rue Des Bourgoins,45200,Amilly,,Amilly,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,249451","48,170324",14.3839531455866,"17 Boulevard Beauvallet, 45300 Pithiviers, France",48.170217,2.24956,"2,24945148,170324",17,,Boulevard Beauvallet,45300,Pithiviers,,Pithiviers,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,622989","47,780658",19.6374031384833,"48 Avenue De Vendôme, 45190 Beaugency, France",47.780569,1.623216,"1,62298947,780658",48,,Avenue De Vendôme,45190,Beaugency,,Beaugency,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,429646","48,070388",0,"14 Rue Frédéric Bazille, 45340 Beaune-la-Rolande, France",48.070388,2.429646,"2,42964648,070388",14,,Rue Frédéric Bazille,45340,Beaune-La-Rolande,,Beaune-la-Rolande,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,046206","48,085942",0.111195079952792,"123 Rue De Saint-Germain, 45170 Neuville-aux-Bois, France",48.085943,2.046206,"2,04620648,085942",123,,Rue De Saint-Germain,45170,Neuville-Aux-Bois,,Neuville-aux-Bois,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,904094","47,857187",0,"P+R Victor Hugo, 9 Rue Geneviève Perrier, 45160 Olivet, France",47.8569723,1.9043428,"1,90409447,857187",9,P+R Victor Hugo,Rue Geneviève Perrier,45160,,,Olivet,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,796302","47,872881",0.0745871838077442,"24 Route d’Orléans, 45380 Chaingy, France",47.872881,1.796303,"1,79630247,872881",24,,Route d’Orléans,45380,Chaingy,,Chaingy,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,37962","47,765333",10.0297446152504,"14 Avenue Du Petit Parc, 45600 Sully-sur-Loire, France",47.765372,2.379499,"2,3796247,765333",14,,Avenue Du Petit Parc,45600,Sully-Sur-Loire,,Sully-sur-Loire,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,9100051","47,8573179",88.0593123049235,"85 Rue Odette Toupense, 45160 Olivet, France",47.856634,1.90941,"1,910005147,8573179",85,,Rue Odette Toupense,45160,Olivet,,Olivet,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,8803036212","47,940195038",0,"Pôle Santé Oréliance, 555 Avenue Jacqueline Auriol, 45770 Saran, France",47.9395935,1.87893975513444,"1,880303621247,940195038",555,Pôle Santé Oréliance,Avenue Jacqueline Auriol,45770,,,Saran,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,72982","47,647388",13.49224106899,"46 Boulevard Loreau, 45250 Briare, France",47.647445,2.729979,"2,7298247,647388",46,,Boulevard Loreau,45250,Briare,,Briare,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,770099","47,996702",9.64393283757311,"658 Rue Des Bourgoins, 45200 Amilly, France",47.996662,2.770214,"2,77009947,996702",658,,Rue Des Bourgoins,45200,Amilly,,Amilly,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,947026","47,945082",4.47943476532702,"Centre hospitalier départemental Georges Daumézon, Route de Chanteau, 45400 Semoy, France",47.94573215,1.94351377100457,"1,94702647,945082",,Centre hospitalier départemental Georges Daumézon,Route de Chanteau,45400,,,Semoy,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,8337011","47,8872361",1.43598333743924,"Rue des Hauts, 45380 La Chapelle-Saint-Mesmin, France",47.8872487,1.8337118,"1,833701147,8872361",,Rue des Hauts,Rue des Hauts,45380,,,La Chapelle-Saint-Mesmin,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,924624","47,838109",20.9569056945588,"10 Avenue De l’Hôpital, 45100 Orleans, France",47.837959,1.924454,"1,92462447,838109",10,,Avenue De l’Hôpital,45100,Orleans,,Orleans,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,8787050247","47,94074127",0,"Pôle Santé Oréliance, 555 Avenue Jacqueline Auriol, 45770 Saran, France",47.9395935,1.87893975513444,"1,878705024747,94074127",555,Pôle Santé Oréliance,Avenue Jacqueline Auriol,45770,,,Saran,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,879024","47,935296",10.6023977129121,"1175 Rue Passe Debout, 45770 Saran, France",47.935206,1.878977,"1,87902447,935296",1175,,Rue Passe Debout,45770,Saran,,Saran,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,919594","47,864899",0.111195079952792,"12 Rue Jean Moulin, 45100 Orleans, France",47.8649,1.919594,"1,91959447,864899",12,,Rue Jean Moulin,45100,Orleans,,Orleans,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,908001","47,857243",7.95405278186488,"Côté Parc, 217 Rue Jacques Monod, 45160 Olivet, France",47.85706265,1.90782803693375,"1,90800147,857243",217,Côté Parc,Rue Jacques Monod,45160,Olivet,,Olivet,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,733009","48,003828",0.111195080742881,"46 Rue De La Quintaine, 45200 Montargis, France",48.003829,2.733009,"2,73300948,003828",46,,Rue De La Quintaine,45200,Montargis,,Montargis,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,90249","47,885335",0.133883979132663,"3bis Rue Honoré d’Estienne d’Orves, 45100 Orleans, France",47.885336,1.902491,"1,9024947,885335",3bis,,Rue Honoré d’Estienne d’Orves,45100,Orleans,,Orleans,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,642382","47,688369",0,"2 Rue Des Tulipes, 45500 Gien, France",47.688369,2.642382,"2,64238247,688369",2,,Rue Des Tulipes,45500,Gien,,Gien,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,029024","47,916028",16.240467574827,"18 Rue De La Merie, 45430 Chécy, France",47.916086,2.029224,"2,02902447,916028",18,,Rue De La Merie,45430,Checy,,Chécy,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,894146","47,891828",3.27278930702979,"Rue Guignegault, 45750 Orléans, France",47.890826,1.8905736,"1,89414647,891828",,Rue Guignegault,Rue Guignegault,45750,,,Orléans,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,249451","48,170324",14.3839531455866,"17 Boulevard Beauvallet, 45300 Pithiviers, France",48.170217,2.24956,"2,24945148,170324",17,,Boulevard Beauvallet,45300,Pithiviers,,Pithiviers,Loiret,Centre,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,770236","47,996878",2.12914994325182,"Centre hospitalier de l'agglomération montargoise, Rue des Bourgoins, 45200 Amilly, France",47.9969341,2.77262377111176,"2,77023647,996878",,Centre hospitalier de l'agglomération montargoise,Rue des Bourgoins,45200,,,Amilly,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,8807339999","47,94791",28.8366754771587,"2031 Ancienne Route de Chartres, 45770 Saran, France",47.94777015,1.88116009239676,"1,880733999947,94791",2031,,Ancienne Route de Chartres,45770,,,Saran,Loiret,Centre-Loire Valley,,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
