original_lon,original_lat,distance,formatted,lat,lon,KEY,housenumber,name,street,suburb,district,postcode,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"1,63748","50,186625",2.83762807033792,"1 Quai Du Romerel, 80230 Saint-Valery-sur-Somme, France",50.1866,1.637472,"1,6374850,186625",1,,Quai Du Romerel,,Saint-Valery-Sur-Somme,80230,Saint-Valery-sur-Somme,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,3646069","49,8664107",1.16459938140863,"Rue de l'Île Mystérieuse, 80330 Longueau, France",49.8654668,2.366469,"2,364606949,8664107",,Rue de l'Île Mystérieuse,Rue de l'Île Mystérieuse,,,80330,Longueau,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,316952","49,904491",0.111195079952792,"354 Boulevard De Beauville, 80000 Amiens, France",49.904492,2.316952,"2,31695249,904491",354,,Boulevard De Beauville,,Saveuse,80000,Amiens,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,862028","50,098956",0.241149290818112,"198bis Route d’Amiens, 80100 Abbeville, France",50.098957,1.862025,"1,86202850,098956",198bis,,Route d’Amiens,,Abbeville,80100,Abbeville,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,92298","49,936713",64.773024044378,"89 Avenue De La Republique, 80200 Péronne, France",49.936137,2.922845,"2,9229849,936713",89,,Avenue De La Republique,,Peronne,80200,Péronne,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,932716","49,946786",25.2586710048797,"1 Ruelle des Halles, 80200 Péronne, France",49.9469811,2.9328968,"2,93271649,946786",1,,Ruelle des Halles,,,80200,Péronne,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,297765","49,891923",6.15356857289504,"Le Kimbo, Galerie des Jacobins, 80000 Amiens, France",49.8919227,2.2976791,"2,29776549,891923",,Le Kimbo,Galerie des Jacobins,,Saveuse,80000,Amiens,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,851939","50,107756",0,"78 Route De Doullens, 80100 Abbeville, France",50.107756,1.851939,"1,85193950,107756",78,,Route De Doullens,,Abbeville,80100,Abbeville,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,505888","49,867903",2.2157599111161,"1 Chemin Du Bois d’Aquenne, 80800 Villers-Bretonneux, France",49.867889,2.505866,"2,50588849,867903",1,,Chemin Du Bois d’Aquenne,,Villers-Bretonneux,80800,Villers-Bretonneux,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,79018","49,700114",18.1188346068397,"10ter Rue Bertin, 80700 Roye, France",49.700128,2.790431,"2,7901849,700114",10ter,,Rue Bertin,,Roye,80700,Roye,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,29728","49,871697",0.111195079952792,"49 Rue Alexandre Dumas, 80090 Amiens, France",49.871696,2.29728,"2,2972849,871697",49,,Rue Alexandre Dumas,,Saveuse,80090,Amiens,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,295401","49,871413",0.0716658071425077,"2 Avenue d’Irlande, 80090 Amiens, France",49.871413,2.2954,"2,29540149,871413",2,,Avenue d’Irlande,,Saveuse,80090,Amiens,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,513505","49,90981",0,"3 Rue Gambetta, 80800 Corbie, France",49.90981,2.513505,"2,51350549,90981",3,,Rue Gambetta,,Corbie,80800,Corbie,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,282531","49,873909",0.132286820688353,"73 Avenue d’Italie, 80090 Amiens, France",49.87391,2.28253,"2,28253149,873909",73,,Avenue d’Italie,,Saveuse,80090,Amiens,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,516074","49,915716",10.5156132974645,"37 Rue Gambetta, 80800 Corbie, France",49.915808,2.516108,"2,51607449,915716",37,,Rue Gambetta,,Corbie,80800,Corbie,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,2957640035","49,870864951",0,"Clinique de l'Europe, Avenue d'Irlande, 80000 Amiens, France",49.8708205,2.29574724230094,"2,295764003549,870864951",,Clinique de l'Europe,Avenue d'Irlande,,,80000,Amiens,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,9288327693","49,934528149",0,"Centre Hospitalier de Péronne, Avenue de la République, 80200 Péronne, France",49.93409825,2.92948314627142,"2,928832769349,934528149",,Centre Hospitalier de Péronne,Avenue de la République,,,80200,Péronne,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,653141","50,000467699",6.96830264899718,"13 Rue Tien Tsin, 80300 Albert, France",50.000474,2.653044,"2,65314150,000467699",13,,Rue Tien Tsin,,Albert,80300,Albert,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,830943","50,102017",0.177262252074975,"Centre hospitalier d'Abbeville, Avenue du Rivage, 80100 Abbeville, France",50.10241735,1.83160441482396,"1,83094350,102017",,Centre hospitalier d'Abbeville,Avenue du Rivage,,Abbeville,80100,Abbeville,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3,086108","49,742577",3.20391324013735,"47 Rue De Verdun, 80400 Ham, France",49.742594,3.086072,"3,08610849,742577",47,,Rue De Verdun,,Ham,80400,Ham,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,295154","49,870243",11.8350310072385,"5 Allee Des Pays Bas, 80090 Amiens, France",49.87021,2.295311,"2,29515449,870243",5,,Allee Des Pays Bas,,Saveuse,80090,Amiens,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,302325","49,885055",0,"54 Rue Albéric De Calonne, 80000 Amiens, France",49.885055,2.302325,"2,30232549,885055",54,,Rue Albéric De Calonne,,Saveuse,80000,Amiens,,Somme,Upper France,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,302308","49,8850564",0.976352708614149,"54 Rue Albéric de Calonne, 80000 Amiens, France",49.8850636,2.3023158,"2,30230849,8850564",54,,Rue Albéric de Calonne,,,80000,Amiens,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,574061","49,647854",0,"Centre hospitalier de Montdidier, Rue Saint-Exupéry, 80500 Montdidier, France",49.64878655,2.57388560948306,"2,57406149,647854",,Centre hospitalier de Montdidier,Rue Saint-Exupéry,,,80500,Montdidier,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,574061","49,647854",0,"Centre hospitalier de Montdidier, Rue Saint-Exupéry, 80500 Montdidier, France",49.64878655,2.57388560948306,"2,57406149,647854",,Centre hospitalier de Montdidier,Rue Saint-Exupéry,,,80500,Montdidier,HDF,Somme,Hauts-de-France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,2763254","49,8619737",8.35943641665774,"Centre Commercial Amiens Sud, 80480 Dury, France",49.862003,2.276218,"2,276325449,8619737",,Centre Commercial Amiens Sud,,,Dury,80480,Dury,,Somme,Upper France,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,377379","43,489576",0.07783655628299,"EHPAD Le Refuge Protestant, 20 Rue Saint-Jacques, 81200 Mazamet, France",43.4895767,2.377379,"2,37737943,489576",20,EHPAD Le Refuge Protestant,Rue Saint-Jacques,,Mazamet,81200,Mazamet,,Tarn,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,164552","43,930823",0,"Clinique Claude Bernard, Square Amiral Abrial, 81000 Albi, France",43.93012755,2.16511137548077,"2,16455243,930823",,Clinique Claude Bernard,Square Amiral Abrial,,,81000,Albi,,Tarn,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,13531","43,926833",1.37225547554889,"1 Rue Angely Cavalie, 81000 Albi, France",43.926845,2.135306,"2,1353143,926833",1,,Rue Angely Cavalie,,Albi,81000,Albi,,Tarn,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,152078","44,055402",3.92229721271607,"Carmaux US Tennis Club, Avenue Bouloc Torcatis, 81400 Carmaux, France",44.0549493,2.15283033881574,"2,15207844,055402",,Carmaux US Tennis Club,Avenue Bouloc Torcatis,,Cité Gourgatieu,81400,Carmaux,,Tarn,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,142814","43,926107",0,"Centre hospitalier d'Albi, Rue de la Berchère, 81000 Albi, France",43.9258361,2.14216731062376,"2,14281443,926107",,Centre hospitalier d'Albi,Rue de la Berchère,,,81000,Albi,,Tarn,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,890432","43,902373",0.236381819638278,"2 Avenue René Cassin, 81600 Gaillac, France",43.902375,1.890433,"1,89043243,902373",2,,Avenue René Cassin,Gaillac,Gaillac,81600,Gaillac,,Tarn,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,271832","43,560447",24.5925972151946,"40 Avenue De La Montagne Noire, 81100 Castres, France",43.560624,2.271649,"2,27183243,560447",40,,Avenue De La Montagne Noire,,Castres,81100,Castres,,Tarn,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,98604","43,76214",5.29429707732179,"Rue du Docteur Bastié, 81300 Graulhet, France",43.7621885,1.9866483,"1,9860443,76214",,Rue du Docteur Bastié,Rue du Docteur Bastié,,,81300,Graulhet,,Tarn,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,36972","43,494146",1.13478335802103,"1 Boulevard Raymond d’Hautpoul, 81200 Mazamet, France",43.494147,2.369706,"2,3697243,494146",1,,Boulevard Raymond d’Hautpoul,,Mazamet,81200,Mazamet,,Tarn,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,819468","43,700629",4.33167312680203,"81500 Lavaur, France",43.7006515,1.8195152,"1,81946843,700629",,,,,,81500,Lavaur,,Tarn,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,147351","43,919914",12.2705407498907,"32 Rue de Lavazière, 81000 Albi, France",43.919841,2.14712619077721,"2,14735143,919914",32,,Rue de Lavazière,,Albi,81000,Albi,,Tarn,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,164552","43,930823",0,"Clinique Claude Bernard, Square Amiral Abrial, 81000 Albi, France",43.93012755,2.16511137548077,"2,16455243,930823",,Clinique Claude Bernard,Square Amiral Abrial,,,81000,Albi,,Tarn,Occitania,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,401964","44,018902",0.578518843653329,"2 Avenue Pierre Souyris, 81340 Valence-d'Albigeois, France",44.018897,2.401966,"2,40196444,018902",2,,Avenue Pierre Souyris,,Valence-D'Albigeois,81340,Valence-d'Albigeois,,Tarn,Occitania,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
