original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,suburb,district,city,state_code,county,state,country,country_code,attribution,attribution_license,attribution_url
"2,441863","47,08375",3.83268519236975,"Avenue François Mitterrand, 18000 Bourges, France",47.0838025,2.4416747,"2,44186347,08375",Avenue François Mitterrand,,Avenue François Mitterrand,18000,La Folie Bâton,,Bourges,,Cher,Centre-Loire Valley,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,509395","46,737568",58.2541684316039,"8 Chemin Vallet, 18200 Saint-Amand-Montrond, France",46.737048,2.509302,"2,50939546,737568",,8,Chemin Vallet,18200,,Saint-Amand-Montrond,Saint-Amand-Montrond,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,575153","46,887011",0,"8 Rue De l’Ermitage, 18130 Dun-sur-Auron, France",46.887011,2.575153,"2,57515346,887011",,8,Rue De l’Ermitage,18130,,Dun-Sur-Auron,Dun-sur-Auron,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,0504344999","47,228407999",24.3052570334401,"3bis Rue Blanqui, 18100 Vierzon, France",47.228302,2.050716,"2,050434499947,228407999",,3bis,Rue Blanqui,18100,,Vierzon,Vierzon,,Cher,Centre,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,5341799999","45,167952",17.1800143955613,"1null Boulevard Doc Verlhac, 19100 Brive-la-Gaillarde, France",45.168037,1.533997,"1,534179999945,167952",,1null,Boulevard Doc Verlhac,19100,,Brive-La-Gaillarde,Brive-la-Gaillarde,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"1,770065","45,269896",4.18721208774577,"12 Place Du Docteur Maschat, 19000 Tulle, France",45.269862,1.770088,"1,77006545,269896",,12,Place Du Docteur Maschat,19000,,Tulle,Tulle,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"2,4969028","45,393062099",1.75456929976772,"Boulevard du Général de Gaulle, 19110 Bort-les-Orgues, France",45.3951319,2.498864,"2,496902845,393062099",Boulevard du Général de Gaulle,,Boulevard du Général de Gaulle,19110,,,Bort-les-Orgues,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,313203","45,544451",3.94707503920043,"Rue du Docteur Roullet, 19200 Ussel, France",45.5444448,2.3131382,"2,31320345,544451",Rue du Docteur Roullet,,Rue du Docteur Roullet,19200,La Chabanne,,Ussel,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2,510654","45,639131",4.67525533867872,"19340 Monestier-Merlines, France",45.639366,2.5088621,"2,51065445,639131",,,,19340,,,Monestier-Merlines,,Corrèze,New Aquitaine,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1,4929494","45,1575469",5.25566314757983,"26null Avenue Du 18 Juin, 19100 Brive-la-Gaillarde, France",45.157594,1.492955,"1,492949445,1575469",,26null,Avenue Du 18 Juin,19100,,Brive-La-Gaillarde,Brive-la-Gaillarde,,Corrèze,New Aquitaine,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
