original_lon,original_lat,distance,formatted,lat,lon,KEY,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
"4,853221","45,749495",0,"Square Stalingrad, Grande Rue de la Guillotière, 69007 Lyon, France",45.74951775,4.85317794684167,"4,85322145,749495",Square Stalingrad,,Grande Rue de la Guillotière,69007,,La Guillotière,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,875679","45,734528",0,"Hôpital privé Jean Mermoz, Avenue Jean Mermoz, 69008 Lyon, France",45.73541275,4.87587729108404,"4,87567945,734528",Hôpital privé Jean Mermoz,,Avenue Jean Mermoz,69008,,Le Bachut,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,826731","45,687554",0.577272816908278,"51 Rue d’Yvours, 69540 Irigny, France",45.687549,4.826729,"4,82673145,687554",,51,Rue d’Yvours,69540,Irigny,,Irigny,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,874036","45,735425",14.0450984445641,"67 Rue Maryse Bastié, 69008 Lyon, France",45.7353,4.874062,"4,87403645,735425",,67,Rue Maryse Bastié,69008,8th Arr.,,Lyon,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,823678","45,689403",0,"Centre des Maladies du Foie et de l'Appareil Digestif, Rue Claudius Peymel, 69540 Irigny, France",45.6893985,4.82355632256221,"4,82367845,689403",Centre des Maladies du Foie et de l'Appareil Digestif,,Rue Claudius Peymel,69540,,,Irigny,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,9998034999","45,7712888",20.6787316450104,"7 Rue De La Gare, 69330 Meyzieu, France",45.771143,4.999638,"4,999803499945,7712888",,7,Rue De La Gare,69330,Meyzieu,,Meyzieu,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,8472348","45,7435029",27.573673859731,"112 Avenue Berthelot, 69007 Lyon, France",45.743293,4.847424,"4,847234845,7435029",,112,Avenue Berthelot,69007,7th Arr.,,Lyon,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,798629","45,779034",11.8469600689541,"17 Rue Saint Simon, 69009 Lyon, France",45.778993,4.79877,"4,79862945,779034",,17,Rue Saint Simon,69009,9th Arr.,,Lyon,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
"4,8070275999","45,701604",0,"Lyon Sud Hospital, 165 Chemin du Grand Revoyet, 69230 Saint-Genis-Laval, France",45.7024045,4.80848108027064,"4,807027599945,701604",Lyon Sud Hospital,165,Chemin du Grand Revoyet,69230,,,Saint-Genis-Laval,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4,689613","46,000347",28.1069512571729,"2336 Ouilly, 69400 Gleizé, France",46.000569,4.689787,"4,68961346,000347",,2336,Ouilly,69400,Gleize,,Gleizé,Rhône,Auvergne-Rhone-Alpes,,France,fr,© OpenAddresses contributors,BSD-3-Clause License,
