unit,facility,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 
HAB_P,NRCBED,CZ	: 	142.31 	143.81 	144.77 	145.46 	146.73 	150.74 	152.55 	154.59 	158.25 	159.86 	160.43 b	152.87 	150.91 	147.38 b	147.31 	148.23 	: 	: 	: 	: 	157.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CZ01	: 	: 	: 	: 	: 	: 	260.68 	271.16 	263.66 	269.20 	271.94 	272.62 	307.36 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CZ02	: 	: 	: 	: 	: 	: 	137.77 	143.10 	144.34 	150.61 	150.41 	151.25 	154.21 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CZ03	: 	: 	: 	: 	: 	: 	134.29 	137.13 	139.24 	138.58 	142.15 	141.37 	144.41 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CZ04	: 	: 	: 	: 	: 	: 	117.37 	112.46 	109.34 	113.95 	115.88 	115.98 	117.00 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CZ05	: 	: 	: 	: 	: 	: 	148.46 	148.64 	159.31 	157.72 	160.90 	163.92 	164.33 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CZ06	: 	: 	: 	: 	: 	: 	145.77 	145.75 	148.55 	154.71 	156.59 	155.51 	155.37 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CZ07	: 	: 	: 	: 	: 	: 	117.20 	121.15 	122.10 	123.41 	124.27 	126.97 	127.67 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,CZ08	: 	: 	: 	: 	: 	: 	142.58 	141.19 	142.85 	144.36 	143.02 	144.64 	145.99 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE	: 	: 	85.70 	: 	86.79 	: 	87.94 	: 	89.32 	: 	91.69 	: 	96.93 	: 	102.95 	: 	108.92 	: 	115.72 	: 	122.13 	: 	127.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE1	: 	: 	: 	: 	: 	: 	99.98 	: 	101.06 	: 	103.81 	: 	106.10 e	: 	112.81 	: 	123.88 	: 	131.28 	: 	145.08 	: 	145.34 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE2	: 	: 	: 	: 	: 	: 	94.73 	: 	95.05 	: 	97.48 	: 	99.69 e	: 	103.84 	: 	108.64 	: 	114.43 	: 	120.64 	: 	131.75 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE3	: 	: 	: 	: 	: 	: 	100.39 	: 	102.91 	: 	102.84 	: 	102.10 e	: 	105.21 	: 	110.84 	: 	114.66 	: 	118.91 	: 	126.81 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE4	: 	: 	: 	: 	: 	: 	85.20 	: 	89.13 	: 	95.59 	: 	101.05 e	: 	110.95 	: 	119.02 	: 	128.22 	: 	135.30 	: 	140.00 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE5	: 	: 	: 	: 	: 	: 	88.06 	: 	90.10 	: 	90.31 	: 	: e	: 	102.11 	: 	107.56 	: 	119.43 	: 	128.94 	: 	136.57 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE6	: 	: 	: 	: 	: 	: 	96.07 	: 	92.94 	: 	96.32 	: 	100.43 e	: 	109.71 	: 	112.36 	: 	113.43 	: 	110.40 	: 	114.09 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,NRCBED,DE7	: 	: 	: 	: 	: 	: 	97.94 	: 	102.00 	: 	107.69 	: 	112.58 e	: 	121.14 	: 	128.15 	: 	134.50 	: 	138.26 	: 	141.99 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
