unit,wstatus,isco08,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,LIC,OC2261,DK	: 	: 	695.59 	697.19 	699.46 	699.39 	697.27 	699.66 	698.98 	700.52 	703.89 	706.98 	709.91 	710.78 	713.35 	714.77 	717.62 	721.18 	726.49 	730.72 	733.58 	737.72 	738.93 	740.92 	744.68 	744.95 	744.96 	745.76 	748.07 	752.53 	759.44 	764.45 	775.90 	786.25 	801.10 	820.47 	842.31 	868.29 	895.67 	925.97 	960.17 	994.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,EE	: 	707.19 	717.63 	725.56 	734.33 	753.60 	774.68 	799.60 	814.58 	835.04 	853.66 	877.70 	893.85 	902.22 	941.49 	964.07 	983.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,EL	: 	782.89 	796.31 	806.98 	811.00 	814.82 	813.54 	792.41 	788.24 	777.38 	764.91 	758.57 	751.79 	754.16 	765.71 	777.18 	817.63 	822.71 	835.54 	831.77 	876.40 	874.11 	885.59 	897.34 	916.07 	929.05 	990.54 	967.60 	974.78 	999.62 	1006.04 	1015.82 	1047.93 	1090.27 	1097.28 	1097.71 	1137.04 	1181.02 	1197.60 	1222.62 	1259.14 	1261.12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,ES	: 	1191.11 	1214.53 	1238.46 	1269.95 	1301.49 	1340.75 	1396.41 	1436.89 	1499.76 	1607.94 	1673.86 	1734.82 	1788.31 	1844.86 	1905.46 	1970.80 	2038.56 	2108.86 	2147.60 	2207.30 	2313.14 	2391.03 	2493.24 	2619.67 	2681.31 	2835.00 	2986.64 	3213.95 	3316.20 	3463.99 	3756.39 	4116.16 	5166.86 	5296.39 	6743.21 	7488.71 	8186.75 	8562.48 	9344.65 	9364.74 	9501.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,FI	: 	1025.51 	1022.52 	1020.07 	1028.04 	1032.37 	1026.32 	1030.47 	1041.55 	1060.11 	1069.95 	1071.17 	1067.35 	1074.28 	1068.86 	1066.48 	1056.83 	1057.05 	1049.74 	1041.37 	1035.53 	1030.09 	1030.83 	1034.01 	1044.26 	1059.23 	1073.29 	1103.76 	1130.40 	1144.61 	1163.01 	1191.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,HR	: 	771.05 	803.95 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,HU	: 	904.72 	928.29 	963.30 	1000.81 	1031.53 	1078.33 	1127.21 	1173.97 	1224.74 	1296.38 	1344.63 	1387.22 	1427.30 	1462.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,IE	1511.29 	1514.48 	1474.70 	1513.00 	1544.29 	1612.52 	1662.64 	1688.81 	1745.49 	1728.50 	1717.32 	1675.91 	1678.53 	1654.22 	1733.91 	1770.56 	1787.67 	1819.52 	1840.87 	1870.57 	1927.34 	2003.78 	2092.97 	2167.36 	2198.79 	2260.73 	2301.56 	2403.20 	2495.65 	2541.74 	2621.84 	2676.29 	2826.90 	2908.37 	2947.59 	2937.50 	3029.18 	3123.27 	3165.55 	3260.80 	3294.85 	3303.78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,IS	: 	834.77 	842.44 	837.82 	825.48 	830.29 b	824.97 	820.52 	821.74 	824.46 	826.46 	839.16 	853.88 	862.54 	865.46 	855.72 	850.24 	856.52 	861.67 	879.28 	887.75 	895.56 	897.67 	901.47 	925.35 	911.58 	941.79 	956.91 	959.00 	966.88 	980.21 	1015.24 	1057.96 	1076.47 	1078.33 	1115.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,LIC,OC2261,IT	: 	933.10 	950.40 	967.82 	984.80 	1007.27 	1016.28 	1023.15 	1025.29 	1025.20 	1027.97 	1049.31 	1066.34 	1076.66 	1089.72 	1227.42 	1248.97 	1449.16 	1545.08 	1608.07 	1675.02 	1719.06 	1771.16 	1810.18 	1867.46 	1920.83 	2011.69 	2140.11 	2293.73 	2483.69 	2888.33 	4223.32 	6568.36 	10072.80 	14115.19 	21470.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
