codigo,nome,latitude,longitude,codigo_re,population,admin_name,capital
2994048,Meyzieu,45.7667,5.0036,3,33477,Auvergne-Rhône-Alpes,
2967870,Vitrolles,43.46,5.2486,13,33101,Provence-Alpes-Côte d’Azur,
6613133,Châtenay-Malabry,48.7653,2.2781,8,33286,Île-de-France,
6430196,Romans-sur-Isère,45.0464,5.0517,3,33160,Auvergne-Rhône-Alpes,
2990474,Nevers,46.9933,3.1572,4,32990,Bourgogne-Franche-Comté,minor
2992415,Montigny-le-Bretonneux,48.7711,2.0333,8,32575,Île-de-France,
2995750,Marignane,43.416,5.2145,13,32793,Provence-Alpes-Côte d’Azur,
2990265,Nogent-sur-Marne,48.8375,2.4833,8,32851,Île-de-France,minor
2974427,Six-Fours-les-Plages,43.1009,5.82,13,32829,Provence-Alpes-Côte d’Azur,
3000192,Les Mureaux,48.9875,1.9172,8,32792,Île-de-France,
6444090,Trappes,48.7775,2.0025,8,32120,Île-de-France,
3029030,Cambrai,50.1767,3.2356,11,32501,Hauts-de-France,minor
6612809,Houilles,48.9261,2.1892,8,32151,Île-de-France,
2975446,Schiltigheim,48.6078,7.75,1,31894,Grand Est,
3026141,Châtellerault,46.8178,0.5461,2,31733,Nouvelle-Aquitaine,minor
6446222,Vigneux-sur-Seine,48.7001,2.417,8,31463,Île-de-France,
2986930,Plaisir,48.8183,1.9472,8,31013,Île-de-France,
3003093,Lens,50.4322,2.8333,11,31415,Hauts-de-France,minor
2998632,L’Haÿ-les-Roses,48.78,2.3374,8,31204,Île-de-France,minor
2978072,Saint-Médard-en-Jalles,44.8964,-0.7164,2,31145,Nouvelle-Aquitaine,
6446231,Viry-Châtillon,48.6713,2.375,8,30706,Île-de-France,
6455401,Cachan,48.7919,2.3319,8,30884,Île-de-France,
3020810,Dreux,48.7372,1.3664,6,30664,Centre-Val de Loire,minor
2998431,Liévin,50.4228,2.7786,11,30423,Hauts-de-France,
2967990,Pontoise,49.0516,2.1017,8,30767,Île-de-France,
8286153,Goussainville,49.0325,2.4747,8,30637,Île-de-France,
10283420,Charenton-le-Pont,48.8265,2.405,8,30053,Île-de-France,
2987271,Pierrefitte-sur-Seine,48.9656,2.3614,8,30306,Île-de-France,
2970761,Malakoff,48.8169,2.2944,8,30286,Île-de-France,
3026033,Chatou,48.8897,2.1573,8,30253,Île-de-France,
2983536,Rillieux-la-Pape,45.8214,4.8983,3,30012,Auvergne-Rhône-Alpes,
2970797,Vandœuvre-lès-Nancy,48.6567,6.1683,1,30002,Grand Est,
6443853,Savigny-le-Temple,48.5841,2.5832,8,29792,Île-de-France,
8297997,Saint-Cloud,48.84,2.22,8,29973,Île-de-France,
8290753,Périgueux,45.1929,0.7217,2,29966,Nouvelle-Aquitaine,minor
2968653,Villemomble,48.8833,2.5,8,29964,Île-de-France,
2995150,Maubeuge,50.2775,3.9734,11,29632,Hauts-de-France,
6452510,Aix-les-Bains,45.6885,5.9153,3,29794,Auvergne-Rhône-Alpes,
2992771,Mont-de-Marsan,43.89,-0.5,2,29554,Nouvelle-Aquitaine,minor
6452064,Bezons,48.9261,2.2178,8,29383,Île-de-France,
3024596,Clichy-sous-Bois,48.9102,2.5532,8,28992,Île-de-France,
2969280,Vienne,45.5242,4.8781,3,29306,Auvergne-Rhône-Alpes,minor
12122717,Ris-Orangis,48.6537,2.4161,8,29225,Île-de-France,
3009169,La Garenne-Colombes,48.9056,2.2445,8,29169,Île-de-France,
3019897,Ermont,48.9922,2.2603,8,29079,Île-de-France,
6457182,Le Plessis-Robinson,48.7811,2.2633,8,29100,Île-de-France,
3021411,Dieppe,49.92,1.08,10,28561,Normandie,minor
2967245,Yerres,48.7171,2.4881,8,29029,Île-de-France,
2972893,Thiais,48.765,2.3923,8,29017,Île-de-France,
2974153,Sotteville-lès-Rouen,49.4092,1.09,10,28958,Normandie,
2994497,Menton,43.775,7.5,13,28958,Provence-Alpes-Côte d’Azur,
2989460,Orange,44.1383,4.8097,13,28919,Provence-Alpes-Côte d’Azur,
3020832,Draveil,48.6852,2.408,8,28741,Île-de-France,
3014643,Grigny,48.6562,2.3849,8,28265,Île-de-France,
2980236,Saint-Étienne-du-Rouvray,49.3786,1.105,10,28500,Normandie,
3014143,Guyancourt,48.7714,2.0739,8,28633,Île-de-France,
3038638,Agde,43.3108,3.4758,9,28609,Occitanie,
3021662,Décines-Charpieu,45.7694,4.9594,3,28602,Auvergne-Rhône-Alpes,
3033881,Bègles,44.8086,-0.5478,2,28601,Nouvelle-Aquitaine,
2974389,Soissons,49.3817,3.3236,11,28522,Hauts-de-France,minor
2968142,Villiers-sur-Marne,48.8275,2.5447,8,28456,Île-de-France,
2978891,Saint-Laurent-du-Var,43.668,7.188,13,28453,Provence-Alpes-Côte d’Azur,
6615539,Bourgoin-Jallieu,45.5861,5.2736,3,28387,Auvergne-Rhône-Alpes,
3028542,Carpentras,44.0558,5.0489,13,28309,Provence-Alpes-Côte d’Azur,minor
6614115,Bois-Colombes,48.9175,2.2683,8,28239,Île-de-France,
8294497,Lomme,50.6455,2.9876,11,28006,Hauts-de-France,
3017178,Fresnes,48.755,2.3221,8,27802,Île-de-France,
2970761,Vanves,48.8208,2.2897,8,27466,Île-de-France,
6455402,Le Chesnay,48.8203,2.1303,8,27683,Île-de-France,
6446359,Villiers-le-Bel,49.0094,2.3911,8,27676,Île-de-France,
3008218,Lambersart,50.65,3.025,11,27415,Hauts-de-France,
6455392,Romainville,48.884,2.435,8,27567,Île-de-France,
3029392,Bussy-Saint-Georges,48.8422,2.6983,8,26806,Île-de-France,
2998305,Limeil-Brévannes,48.7464,2.4883,8,27228,Île-de-France,
2972237,Tournefeuille,43.5853,1.3442,9,26962,Occitanie,
2976984,Saint-Sébastien-sur-Loire,47.2081,-1.5014,12,26838,Pays de la Loire,
3033391,Bergerac,44.85,0.48,2,26823,Nouvelle-Aquitaine,minor
2992616,Montfermeil,48.9,2.5667,8,26783,Île-de-France,
3012834,Illkirch-Graffenstaden,48.53,7.72,1,26780,Grand Est,
2984513,Rambouillet,48.6444,1.8308,8,26736,Île-de-France,minor
2975758,Saumur,47.26,-0.0769,12,26599,Pays de la Loire,minor
6425695,Vallauris,43.5805,7.0538,13,26672,Provence-Alpes-Côte d’Azur,
6446335,Sannois,48.9722,2.2578,8,26484,Île-de-France,
6614137,Cavaillon,43.8375,5.0381,13,26198,Provence-Alpes-Côte d’Azur,
3030257,Brétigny-sur-Orge,48.6114,2.3059,8,26528,Île-de-France,
6452034,Sucy-en-Brie,48.7697,2.5228,8,26472,Île-de-France,
6454959,Miramas,43.5822,5.0019,13,26470,Provence-Alpes-Côte d’Azur,
6446342,Taverny,49.0264,2.2275,8,26441,Île-de-France,
2989170,Orvault,47.2717,-1.6225,12,26355,Pays de la Loire,
2984004,Villeparisis,48.9503,2.6025,8,26322,Île-de-France,
2980816,Saint-Dizier,48.6383,4.9497,1,23382,Grand Est,minor
8287998,Oullins,45.715,4.8083,3,26273,Auvergne-Rhône-Alpes,
2997116,Lunel,43.6778,4.1361,9,26239,Occitanie,
