lon,lat
-42.8978,-20.4111,
-42.8978,-20.4111,
-42.8978,-20.4111,
-45.0588,-16.6282,
-43.0281,-15.7404,
-43.0281,-15.7404,
-43.0281,-15.7404,
-41.786,-17.8077,
-45.9389,-22.2266,
-45.9389,-22.2266,
-45.9389,-22.2266,
-44.9748,-22.1964,
-44.0778,-21.0597,
-44.0778,-21.0597,
-44.0778,-21.0597,
-44.0778,-21.0597,
-48.9276,-19.3086,
-46.8624,-20.7411,
-46.3755,-19.739,
-43.1895,-20.7656,
-43.1895,-20.7656,
-44.06,-18.6401,
-43.5628,-18.6193,
-46.4165,-18.4096,
-43.8851,-20.7416,
-43.8851,-20.7416,
-42.4502,-20.1061,
-42.4502,-20.1061,
-42.4676,-21.5289,
-44.2407,-20.9171,
-41.2462,-19.3194,
-41.2462,-19.3194,
-45.9888,-16.2258,
-43.0488,-16.0091,
-44.0844,-19.7621,
-45.0637,-21.1879,
-45.0637,-21.1879,
-42.6462,-20.2285,
-42.6462,-20.2285,
-42.8995,-20.2412,
-42.8995,-20.2412,
-43.4721,-20.855,
-43.4721,-20.855,
-43.4721,-20.855,
-44.3069,-20.2666,
-44.3069,-20.2666,
-46.2455,-19.1861,
-42.5405,-15.616,
-43.1829,-19.9284,
-43.1829,-19.9284,
-43.1696,-21.2712,
-43.1696,-21.2712,
-43.1696,-21.2712,
-43.1696,-21.2712,
-43.8293,-22.0861,
-43.8293,-22.0861,
-43.0018,-18.2922,
-43.0018,-18.2922,
-47.5782,-18.8838,
-47.5782,-18.8838,
-42.5112,-20.9812,
-42.261,-16.4053,
-40.5397,-16.3775,
-43.8263,-19.884,
-43.8263,-19.884,
-43.0752,-18.6653,
-47.4508,-19.8622,
-42.2964,-16.1753,
-42.2964,-16.1753,
-39.9391,-16.0063,
-43.4101,-19.9604,
-43.4101,-19.9604,
-41.7418,-16.0967,
-41.7418,-16.0967,
-42.4388,-18.8235,
-42.4388,-18.8235,
-42.4388,-18.8235,
-42.4388,-18.8235,
-45.4102,-16.6859,
-47.5322,-19.3108,
-47.5322,-19.3108,
-43.8497,-19.7548,
-42.2519,-20.3839,
-42.2519,-20.3839,
-42.2519,-20.3839,
-43.1064,-19.4431,
-43.1064,-19.4431,
-40.1512,-16.2479,
-42.4139,-18.1896,
-42.4139,-18.1896,
-45.5005,-21.2449,
-45.5005,-21.2449,
-44.0409,-18.9962,
-44.105,-21.5983,
-41.9278,-20.1031,
-41.9278,-20.1031,
-43.722,-19.1662,
-44.0977,-22.1474,
-41.3821,-19.3576,
-45.7034,-22.2461,
-45.7034,-22.2461,
-45.9611,-19.5186,
-50.1208,-18.8414,
-44.9176,-20.943,
-43.3006,-18.4609,
-43.3006,-18.4609,
-40.1817,-16.5332,
-45.2947,-20.085,
-45.2947,-20.085,
-42.6171,-15.3393,
-43.5499,-21.4634,
-43.5499,-21.4634,
-43.5499,-21.4634,
-45.0699,-21.5839,
-45.0699,-21.5839,
-42.971,-19.8678,
-44.8593,-15.9514,
-49.7727,-19.8611,
-41.363,-18.9097,
-45.8265,-18.3315,
-45.5893,-21.8932,
-45.5893,-21.8932,
-46.0465,-19.3087,
-46.0465,-19.3087,
-46.508,-20.635,
-44.3507,-16.8455,
-44.3507,-16.8455,
-44.0096,-15.9271,
-44.2526,-21.1311,
-44.2526,-21.1311,
-44.2526,-21.1311,
-41.1628,-18.723,
-42.0213,-15.3168,
-42.0213,-15.3168,
-42.7655,-18.548,
-42.7655,-18.548,
-42.7655,-18.548,
-43.0069,-21.5381,
